,actual,feature_model
2018-10-04,55.34957142857142,56.450329358116335
2018-10-11,55.534375,56.08173437460796
2018-10-18,57.60732142857143,58.0228323527153
2018-10-25,58.10247023809524,55.559350445642046
2018-11-01,55.83925595238096,58.136941332890224
2018-11-08,58.57626785714286,58.677387669174784
2018-11-15,61.157553571428565,60.250050877193814
2018-11-22,61.53547023809524,61.277947269427386
2018-11-29,62.25420833333334,60.89208405393452
2018-12-06,62.83096428571429,60.69370185429094
2018-12-13,62.56505357142857,61.784389816633016
2018-12-20,51.66849404761905,51.95734993443381
2018-12-27,50.724297619047626,52.71470961070658
2019-01-03,60.180416666666666,60.18586686485626
2019-01-10,62.74117857142857,60.41238445349437
2019-01-17,62.816452380952384,62.15688203940678
2019-01-24,62.92402380952382,61.995474803336684
2019-01-31,62.08240476190477,61.55440139166176
2019-02-07,62.34997619047619,60.58313364805251
2019-02-14,59.74879166666667,59.48783612912254
2019-02-21,58.74913690476191,59.03582968787123
2019-02-28,58.744172619047625,58.95047036528285
2019-03-07,59.49458928571429,58.692190435078906
2019-03-14,59.63257142857143,59.094751051538566
2019-03-21,57.19169047619047,58.72498328413415
2019-03-28,56.23338095238096,54.96455079061989
2019-04-04,56.36203571428572,56.28299107335221
2019-04-11,56.58204166666666,56.504882477818626
2019-04-18,48.69788095238095,53.18386399113726
2019-04-25,52.80792857142857,53.65104552722739
2019-05-02,55.879869047619046,56.75467080158582
2019-05-09,55.50689285714285,55.31413649018252
2019-05-16,55.45182142857144,54.932285185113464
2019-05-23,54.2165,56.22612966153729
2019-05-30,52.01179761904762,53.5368004370752
2019-06-06,51.95232142857143,54.69421366098938
2019-06-13,54.66170833333333,56.29099309028078
2019-06-20,53.20418452380952,56.297149465517165
2019-06-27,55.50452976190476,56.327855984129414
2019-07-04,54.44921428571429,55.42747810936328
2019-07-11,53.64996428571428,54.36717712292646
2019-07-18,53.69526785714286,54.738112201030766
2019-07-25,54.00720833333333,55.710501088675514
2019-08-01,51.43482142857143,55.275423667589145
2019-08-08,51.950178571428566,54.31328130316605
2019-08-15,51.43144642857143,55.21669709437676
2019-08-22,53.17341071428572,55.706464457885026
2019-08-29,52.932648809523805,55.67831445820183
2019-09-05,52.8212380952381,56.13672117163857
2019-09-12,53.470482142857136,56.313485907324306
2019-09-19,53.87153571428571,56.37171053648808
2019-09-26,55.04417261904762,56.202460506103634
2019-10-03,52.514744047619054,54.972343295507706
2019-10-10,56.06342261904762,56.34446895868147
2019-10-17,56.2455119047619,57.97842044499561
2019-10-24,56.78088690476191,56.75982443506832
2019-10-31,55.05027380952381,58.46215725702521
2019-11-07,59.14056547619048,59.76406472509409
2019-11-14,59.159779761904765,59.21227978853003
2019-11-21,59.912059523809525,59.62168103626386
2019-11-28,59.80317857142857,60.0828318854017
2019-12-05,61.689059523809526,60.12919558235196
2019-12-12,59.74446428571429,60.119415131302794
2019-12-19,50.65291071428572,53.04311707404342
2019-12-26,46.57266071428572,52.37865594010109
2020-01-02,56.21391666666667,59.57216524551206
2020-01-09,60.41160714285714,59.25569845511719
2020-01-16,60.31816071428571,60.25978118439121
2020-01-23,61.279678571428576,60.69202206458765
2020-01-30,60.40735119047618,59.927785528196935
2020-02-06,60.568398809523806,59.89929197284649
2020-02-13,60.228547619047625,58.99112345793318
2020-02-20,59.077958333333335,59.59200930852396
2020-02-27,58.95033928571428,59.82341925379459
2020-03-05,58.91609523809524,58.90384194940279
2020-03-12,56.96972023809524,58.67208782221432
2020-03-19,54.4246011904762,59.81804004934343
2020-03-26,53.30305357142858,56.293283776950254
2020-04-02,51.200857142857146,56.32159598333935
2020-04-09,45.27698214285714,53.516316424582364
2020-04-16,49.765482142857145,55.056539541574836
2020-04-23,50.07677976190476,55.082261614878895
2020-04-30,48.23919047619048,54.84558745197117
2020-05-07,50.1552380952381,56.210329912463365
2020-05-14,50.059333333333335,55.80675036555017
2020-05-21,47.76384523809524,54.737499399930975
2020-05-28,47.621232142857146,52.85872302806584
2020-06-04,50.509142857142855,55.325888026330915
2020-06-11,48.34847619047619,55.99928929899904
2020-06-18,49.93173214285715,55.96625552141388
2020-06-25,51.03688690476191,56.133933094194035
2020-07-02,51.615029761904765,55.75598765198567
2020-07-09,50.864625,55.235899294982204
2020-07-16,50.6185,55.25302404784797
2020-07-23,50.42470238095238,55.68703317844365
2020-07-30,49.11565476190477,55.71358835660517
2020-08-06,51.43091666666667,55.66854065253544
2020-08-13,51.5311130952381,55.791848028058595
2020-08-20,52.26697023809524,56.125748099553384
2020-08-27,51.34003571428572,55.64046022654915
2020-09-03,51.67822023809524,55.7954993017071
2020-09-10,51.62555952380952,55.79295072684297
2020-09-17,52.42595833333333,55.86687554745054
2020-09-24,54.16725,56.47095674468341
