timestamp,actual,lstm
2018-10-04,55.34957142857142,54.818703100019306
2018-10-11,55.534375,54.98468934299751
2018-10-18,57.60732142857143,55.07585414698466
2018-10-25,58.10247023809524,55.38083040557332
2018-11-01,55.83925595238096,56.06502296232874
2018-11-08,58.57626785714286,56.631048159982335
2018-11-15,61.157553571428565,57.15436809679021
2018-11-22,61.53547023809524,58.053864351574354
2018-11-29,62.25420833333334,58.94736270580659
2018-12-06,62.83096428571429,59.46916639392514
2018-12-13,62.56505357142857,59.65808479348468
2018-12-20,51.66849404761905,60.01368167144685
2018-12-27,50.724297619047626,58.10464703157718
2019-01-03,60.180416666666666,57.94459199670721
2019-01-10,62.74117857142857,59.37110238721241
2019-01-17,62.816452380952384,59.86020468103642
2019-01-24,62.92402380952382,60.47741592744856
2019-01-31,62.08240476190477,60.70370218355132
2019-02-07,62.34997619047619,60.56809354514347
2019-02-14,59.74879166666667,59.85209833503629
2019-02-21,58.74913690476191,58.97152987788104
2019-02-28,58.744172619047625,58.2004698105969
2019-03-07,59.49458928571429,57.25702102574179
2019-03-14,59.63257142857143,56.465083863237474
2019-03-21,57.19169047619047,55.902840875421404
2019-03-28,56.23338095238096,55.53498899727792
2019-04-04,56.36203571428572,55.36459416029287
2019-04-11,56.58204166666666,55.29702025142899
2019-04-18,48.69788095238095,55.28593182914467
2019-04-25,52.80792857142857,54.72146953475884
2019-05-02,55.879869047619046,54.58331412887838
2019-05-09,55.50689285714285,54.846275654558454
2019-05-16,55.45182142857144,55.010729025956635
2019-05-23,54.2165,55.041674621142924
2019-05-30,52.01179761904762,55.06605251723368
2019-06-06,51.95232142857143,54.705907094084395
2019-06-13,54.66170833333333,54.5404618232472
2019-06-20,53.20418452380952,54.59962645778245
2019-06-27,55.50452976190476,54.64075600920594
2019-07-04,54.44921428571429,54.68935571696354
2019-07-11,53.64996428571428,54.74892914403758
2019-07-18,53.69526785714286,54.7907444022577
2019-07-25,54.00720833333333,54.787069287025695
2019-08-01,51.43482142857143,54.7709878706638
2019-08-08,51.950178571428566,54.77498861376086
2019-08-15,51.43144642857143,54.78161547226804
2019-08-22,53.17341071428572,54.78876130646266
2019-08-29,52.932648809523805,54.78007511787618
2019-09-05,52.8212380952381,54.77303123071518
2019-09-12,53.470482142857136,54.798258852820226
2019-09-19,53.87153571428571,54.8452437798294
2019-09-26,55.04417261904762,54.90098575614646
2019-10-03,52.514744047619054,54.956326171635496
2019-10-10,56.06342261904762,55.00002815306075
2019-10-17,56.2455119047619,55.13187810980114
2019-10-24,56.78088690476191,55.32692819656166
2019-10-31,55.05027380952381,55.89730821492838
2019-11-07,59.14056547619048,56.720988745822304
2019-11-14,59.159779761904765,57.61362893704436
2019-11-21,59.912059523809525,58.33221169343761
2019-11-28,59.80317857142857,58.79613839329787
2019-12-05,61.689059523809526,59.27002034654256
2019-12-12,59.74446428571429,59.541730584975056
2019-12-19,50.65291071428572,59.57817599663468
2019-12-26,46.57266071428572,58.64359489621804
2020-01-02,56.21391666666667,57.04407406189737
2020-01-09,60.41160714285714,58.80633128873309
2020-01-16,60.31816071428571,59.17595949349714
2020-01-23,61.279678571428576,59.443042240566726
2020-01-30,60.40735119047618,59.598922569519694
2020-02-06,60.568398809523806,59.12473608089967
2020-02-13,60.228547619047625,58.62036784654238
2020-02-20,59.077958333333335,57.94931852233137
2020-02-27,58.95033928571428,57.35696186227757
2020-03-05,58.91609523809524,56.93392586650486
2020-03-12,56.96972023809524,56.474738096661504
2020-03-19,54.4246011904762,56.00016210006473
2020-03-26,53.30305357142858,55.97780689840746
2020-04-02,51.200857142857146,56.027261931733165
2020-04-09,45.27698214285714,55.71447207332456
2020-04-16,49.765482142857145,54.92586444820734
2020-04-23,50.07677976190476,55.201936462852544
2020-04-30,48.23919047619048,55.16346617218015
2020-05-07,50.1552380952381,54.7903654405258
2020-05-14,50.059333333333335,55.0144604380481
2020-05-21,47.76384523809524,55.10135140141657
2020-05-28,47.621232142857146,54.742575885254155
2020-06-04,50.509142857142855,54.50743158699394
2020-06-11,48.34847619047619,54.73156038272
2020-06-18,49.93173214285715,54.77979609436936
2020-06-25,51.03688690476191,54.836962014623126
2020-07-02,51.615029761904765,54.831814191627
2020-07-09,50.864625,54.84399319607007
2020-07-16,50.6185,54.86779250507983
2020-07-23,50.42470238095238,54.87200728672729
2020-07-30,49.11565476190477,54.858493830768154
2020-08-06,51.43091666666667,54.8458824805061
2020-08-13,51.5311130952381,54.8061410157868
2020-08-20,52.26697023809524,54.78142132092222
2020-08-27,51.34003571428572,54.77348461880366
2020-09-03,51.67822023809524,54.78928510329062
2020-09-10,51.62555952380952,54.81608160486884
2020-09-17,52.42595833333333,54.825943649536796
2020-09-24,54.16725,54.8580250250741
