,importance
lag_52,0.7843791160592186
temp_max,0.05204853314054315
holiday_days,0.03988361000172889
lag_1,0.03807841676131745
trend,0.02040738949246711
has_holiday,0.015928421931974683
temp_mean,0.009491840486653231
temp_min,0.003866244712098749
rolling_std_4,0.0034441429781118214
rolling_mean_26,0.00309628806741768
lag_13,0.0029383021094293808
rolling_mean_13,0.002759399114775258
rolling_mean_4,0.0027157795561844325
lag_26,0.0025875447986634884
heating_degree_days,0.0021509372209257884
rolling_std_52,0.0020438553394026048
week_cos,0.0018811049117268364
cooling_degree_days,0.0017579836355692527
lag_4,0.0015805785675961042
rolling_mean_8,0.0014088008686979413
rolling_std_13,0.001349827307247578
rolling_std_8,0.0013214285740167908
lag_8,0.0012071572968742376
lag_2,0.0012029077691994516
rolling_mean_52,0.0011924804505702685
week_sin,0.0010789377030471332
month_sin,0.00011909947819295926
lag_3,7.987166634947409e-05
rolling_std_26,0.0
month_cos,0.0
